No,IPTG_Concentration,PC_Induction,Strain,FITC_YFP,Texas_RFP,FITC_YFP,Texas_RFP,Induce Level
1,0,0,42-lac,362.8974609,8.205670357,341.082201,1.328606606,1
2,0,0,42-lac,397.6219788,7.815339565,367.3087635,0.938275814,1
3,0,0,42-lac,435.6694031,8.485273361,407.749485,1.60820961,1
4,20,0,42-lac,539.2114258,1205.038208,517.3961658,1198.161144,901.8178438
5,20,0,42-lac,477.3574829,1109.898071,447.0442677,1103.021008,1175.582906
6,20,0,42-lac,484.6831665,1130.369141,456.7632484,1123.492077,698.5980374
7,10,0,42-lac,446.4164734,872.519043,424.6012135,865.6419792,651.541228
8,10,0,42-lac,510.4427185,924.5059814,480.1295033,917.6289177,977.9948545
9,10,0,42-lac,537.5712891,988.583252,509.651371,981.7061882,610.434226
10,5,0,42-lac,409.920166,555.888855,388.1049061,549.0117912,413.2237405
11,5,0,42-lac,382.1844482,518.2764282,351.871233,511.3993645,545.0416148
12,5,0,42-lac,402.49646,531.0612793,374.5765419,524.1842155,325.9427207
13,2,0,42-lac,480.2744446,207.1919403,458.4591846,200.3148766,150.7706463
14,2,0,42-lac,396.4127502,193.1730804,366.099535,186.2960167,198.551443
15,2,0,42-lac,443.7051697,209.7319336,415.7852516,202.8548698,126.1370835
16,1,0,42-lac,552.5126343,92.1478653,530.6973743,85.27080154,64.18062442
17,1,0,42-lac,467.2865906,75.1366806,436.9733753,68.25961685,72.7500548
18,1,0,42-lac,471.5763855,78.17168427,443.6564674,71.29462051,44.33167175
19,0.5,0,42-lac,486.1618958,29.04769325,464.3466358,22.1706295,16.68712876
20,0.5,0,42-lac,433.0233459,30.87232208,402.7101307,23.99525833,25.57377904
21,0.5,0,42-lac,451.888916,30.40568924,423.968998,23.52862549,14.63032266
22,0.2,0,42-lac,378.7078247,14.63734722,356.8925648,7.76028347,5.840918928
23,0.2,0,42-lac,315.45047,15.9891758,285.1372547,9.112112046,9.711549541
24,0.2,0,42-lac,336.288269,17.67995834,308.368351,10.80289459,6.717342397
25,0.1,0,42-lac,334.2458191,11.79064274,312.4305592,4.913578987,3.698294865
26,0.1,0,42-lac,265.1714478,11.68338776,234.8582325,4.806324005,5.122506554
27,0.1,0,42-lac,287.901886,11.89888001,259.9819679,5.021816254,3.122613013
28,0,0,lac-42,791.4851074,6.793524265,761.1718922,-0.083539486,1
29,0,0,lac-42,791.4851074,7.398367882,763.5651894,0.521304131,1
30,0,0,lac-42,564.4200439,7.06793642,542.604784,0.190872669,1
